injected,dropped,trial,accepted,prefix_removed,ext_missing,status,received
0,4,20,False,False,False,packet_rejected,0
0,4,21,False,False,False,packet_rejected,0
0,4,22,False,False,False,packet_rejected,0
0,4,23,False,False,False,packet_rejected,0
0,4,24,False,False,False,packet_rejected,0
0,4,25,False,False,False,packet_rejected,0
0,4,26,False,False,False,packet_rejected,0
0,4,27,False,False,False,packet_rejected,0
0,4,28,False,False,False,packet_rejected,0
0,4,29,False,False,False,packet_rejected,0
0,4,30,False,False,False,packet_rejected,0
0,4,31,False,False,False,packet_rejected,0
0,4,32,False,False,False,packet_rejected,0
0,4,33,False,False,False,packet_rejected,0
0,4,34,False,False,False,packet_rejected,0
0,4,35,False,False,False,packet_rejected,0
0,4,36,False,False,False,packet_rejected,0
0,4,37,False,False,False,packet_rejected,0
0,4,38,False,False,False,packet_rejected,0
0,4,39,False,False,False,packet_rejected,0
0,4,40,False,False,False,packet_rejected,0
0,4,41,False,False,False,packet_rejected,0
0,4,42,False,False,False,packet_rejected,0
0,4,43,False,False,False,packet_rejected,0
0,4,44,False,False,False,packet_rejected,0
0,4,45,False,False,False,packet_rejected,0
0,4,46,False,False,False,packet_rejected,0
0,4,47,False,False,False,packet_rejected,0
0,4,48,False,False,False,packet_rejected,0
0,4,49,False,False,False,packet_rejected,0
0,4,50,False,False,False,packet_rejected,0
0,4,51,False,False,False,packet_rejected,0
0,4,52,False,False,False,packet_rejected,0
0,4,53,False,False,False,packet_rejected,0
0,4,54,False,False,False,packet_rejected,0
0,4,55,False,False,False,packet_rejected,0
0,4,56,False,False,False,packet_rejected,0
0,4,57,False,False,False,packet_rejected,0
0,4,58,False,False,False,packet_rejected,0
0,4,59,False,False,False,packet_rejected,0
0,4,60,False,False,False,packet_rejected,0
0,4,61,False,False,False,packet_rejected,0
0,4,62,False,False,False,packet_rejected,0
0,4,63,False,False,False,packet_rejected,0
0,4,64,False,False,False,packet_rejected,0
0,4,65,False,False,False,packet_rejected,0
0,4,66,False,False,False,packet_rejected,0
